Transaction ID,User,Person,CARD INDEX,Year,Card Number,Month,Day,Time,Amount,Use Chip,Merchant Name,Merchant City,Merchant State,Latitude,Longitude,Zip,MCC,Errors?,Is Fraud?,Merchant_ID
0,973,Kynlee Martinez,0,2002,5502650201752905.0,9,1,06:21,$134.09,Swipe Transaction,3527213246127876953,La Verne,CA,-117.7708,34.1159,91750.0,5300,,No,0
1,668,Annabella Ward,0,2002,5078628761076723.0,9,1,06:42,$38.48,Swipe Transaction,-727612092139916043,Monterey Park,CA,-118.1271,34.0534,91754.0,5411,,No,1
2,769,Zaylee Anderson,0,2002,5338290960851838.0,9,2,06:22,$120.34,Swipe Transaction,-727612092139916043,Monterey Park,CA,-118.1271,34.0534,91754.0,5411,,No,1
3,321,Charli Nelson,0,2002,4750958043493039.0,9,2,17:45,$128.95,Swipe Transaction,3414527459579106770,Monterey Park,CA,-118.1271,34.0534,91754.0,5651,,No,3
4,889,Alivia Xi,0,2002,5142639208685540.0,9,3,06:23,$104.71,Swipe Transaction,5817218446178736267,La Verne,CA,-117.7708,34.1159,91750.0,5912,,No,4
5,967,Hailee Ajami,0,2002,4590278168014299.0,9,3,13:53,$86.19,Swipe Transaction,-7146670748125200898,Monterey Park,CA,-118.115,34.048,91755.0,5970,,No,5
6,1175,Demetrius Walker,0,2002,4204698331499701.0,9,4,05:51,$93.84,Swipe Transaction,-727612092139916043,Monterey Park,CA,-118.1271,34.0534,91754.0,5411,,No,1
7,1852,Vicente Gao,0,2002,4906330160441425.0,9,4,06:09,$123.50,Swipe Transaction,-727612092139916043,Monterey Park,CA,-118.1271,34.0534,91754.0,5411,,No,1
8,1838,Alora White,0,2002,4997086356987452.0,9,5,06:14,$61.72,Swipe Transaction,-727612092139916043,Monterey Park,CA,-118.1271,34.0534,91754.0,5411,,No,1
9,188,Hayden Myers,0,2002,5416807432483550.0,9,5,09:35,$57.10,Swipe Transaction,4055257078481058705,La Verne,CA,-117.7708,34.1159,91750.0,7538,,No,9
10,727,Alessia Abe,0,2002,5419249022493269.0,9,5,20:18,$76.07,Swipe Transaction,-4500542936415012428,La Verne,CA,-117.7708,34.1159,91750.0,5814,,No,10
11,1528,Alanna Ross,0,2002,5713112635487348.0,9,5,20:41,$53.91,Online Transaction,-9092677072201095172,ONLINE,,0.0,0.0,,4900,,No,11
12,1776,Camilla Bailey,0,2002,4398726361408175.0,9,6,06:16,$110.37,Swipe Transaction,2027553650310142703,Mira Loma,CA,-117.5236,33.9938,91752.0,5541,,No,12
13,1862,Angela Jenkins,0,2002,4539775091869861.0,9,7,06:16,$117.05,Swipe Transaction,-727612092139916043,Monterey Park,CA,-118.1271,34.0534,91754.0,5411,,No,1
14,607,Shepherd Cox,0,2002,360626221519170.0,9,7,06:34,$45.30,Swipe Transaction,-5475680618560174533,Monterey Park,CA,-118.115,34.048,91755.0,5942,,No,14
15,118,Silas Ward,0,2002,4997798155113400.0,9,7,09:39,$29.34,Swipe Transaction,4055257078481058705,La Verne,CA,-117.7708,34.1159,91750.0,7538,,No,9
16,1145,Anton White,0,2002,4395456828660431.0,9,8,06:10,$147.45,Swipe Transaction,-34551508091458520,La Verne,CA,-117.7708,34.1159,91750.0,5912,,No,16
17,248,Annalee Wood,0,2002,383087654646315.0,9,8,06:38,$27.75,Swipe Transaction,4060646732831064559,La Verne,CA,-117.7708,34.1159,91750.0,5411,,No,17
18,1643,Nataly Mitchell,0,2002,4020577124844597.0,9,8,13:48,$76.57,Swipe Transaction,-727612092139916043,Monterey Park,CA,-118.1271,34.0534,91754.0,5411,,No,1
19,1269,Juan Edwards,0,2002,5609582366095384.0,9,8,22:01,$22.56,Swipe Transaction,-6733168469687845480,Mira Loma,CA,-117.5236,33.9938,91752.0,7832,,No,19
20,1598,Eduardo Murphy,0,2002,359466340825605.0,9,9,06:54,$37.50,Swipe Transaction,4060646732831064559,La Verne,CA,-117.7708,34.1159,91750.0,5411,,No,17
21,310,Noel Davis,0,2002,6183952528759947.0,9,9,09:40,$65.50,Swipe Transaction,-3345936507911876459,La Verne,CA,-117.7708,34.1159,91750.0,7538,Technical Glitch,No,21
22,758,Aarav Jenkins,0,2002,5568042569458348.0,9,9,13:19,$56.42,Swipe Transaction,3189517333335617109,La Verne,CA,-117.7708,34.1159,91750.0,5311,,No,22
23,1287,Rey Lee,0,2002,4274011202694035.0,9,9,13:31,$2.71,Swipe Transaction,4060646732831064559,La Verne,CA,-117.7708,34.1159,91750.0,5411,,No,17
24,666,Rodney James,0,2002,5421616899749760.0,9,9,20:02,$144.90,Online Transaction,-8338381919281017248,ONLINE,,0.0,0.0,,4899,,No,24
25,1380,Darius Taylor,0,2002,5278231764792292.0,9,10,06:20,$160.00,Swipe Transaction,-4282466774399734331,Mira Loma,CA,-117.5236,33.9938,91752.0,4829,,No,25
26,417,Walker Peres,0,2002,5361639254366090.0,9,10,06:22,$102.18,Swipe Transaction,3527213246127876953,La Verne,CA,-117.7708,34.1159,91750.0,5300,,No,0
27,259,Abril Labelle,0,2002,4846797588329543.0,9,10,06:31,$36.73,Swipe Transaction,-34551508091458520,La Verne,CA,-117.7708,34.1159,91750.0,5912,,No,16
28,1011,Brenna Gonzalez,0,2002,5371571902299645.0,9,10,21:39,$29.33,Swipe Transaction,-6733168469687845480,Mira Loma,CA,-117.5236,33.9938,91752.0,7832,,No,19
29,1895,Kashton Farhad,0,2002,5588241759620390.0,9,11,06:28,$162.39,Swipe Transaction,4060646732831064559,La Verne,CA,-117.7708,34.1159,91750.0,5411,,No,17
30,109,Zariah Mitchell,0,2002,5656749855983523.0,9,11,06:33,$34.40,Swipe Transaction,-34551508091458520,La Verne,CA,-117.7708,34.1159,91750.0,5912,,No,16
31,373,Lilianna Farhad,0,2002,5688444191664896.0,9,11,13:06,$62.06,Swipe Transaction,2027553650310142703,Mira Loma,CA,-117.5236,33.9938,91752.0,5541,,No,12
32,12,Romina Garcia,0,2002,5656383455895230.0,9,11,13:17,$-99.00,Swipe Transaction,2027553650310142703,Mira Loma,CA,-117.5236,33.9938,91752.0,5541,,No,12
33,1528,Alanna Ross,0,2002,5713112635487348.0,9,11,13:23,$99.00,Swipe Transaction,2027553650310142703,Mira Loma,CA,-117.5236,33.9938,91752.0,5541,,No,12
34,172,Paityn King,0,2002,369191506516942.0,9,11,19:30,$80.18,Swipe Transaction,-1605794445852049456,La Verne,CA,-117.7708,34.1159,91750.0,5812,,No,34
35,955,Nickolas Lopez,0,2002,4361413457601347.0,9,12,06:21,$122.10,Swipe Transaction,4060646732831064559,La Verne,CA,-117.7708,34.1159,91750.0,5411,Insufficient Balance,No,17
36,1094,Dallas Abe,0,2002,4983067178659303.0,9,12,06:26,$92.76,Swipe Transaction,4060646732831064559,La Verne,CA,-117.7708,34.1159,91750.0,5411,,No,17
37,1958,Tony Watson,0,2002,5843937298541003.0,9,12,06:50,$52.52,Swipe Transaction,4060646732831064559,La Verne,CA,-117.7708,34.1159,91750.0,5411,,No,17
38,1495,Khalid Allen,0,2002,5936059093647862.0,9,12,11:43,$1.13,Swipe Transaction,6666504894937430109,La Verne,CA,-117.7708,34.1159,91750.0,5499,,No,38
39,1390,Valentin Wilson,0,2002,5696067026976484.0,9,13,06:22,$126.79,Swipe Transaction,1913477460590765860,La Verne,CA,-117.7708,34.1159,91750.0,5300,,No,39
40,800,Abril Perry,0,2002,4098548875720611.0,9,13,06:37,$44.41,Swipe Transaction,-34551508091458520,La Verne,CA,-117.7708,34.1159,91750.0,5912,,No,16
41,105,Zahra Williams,0,2002,5439358068470043.0,9,14,06:09,$164.37,Swipe Transaction,-34551508091458520,La Verne,CA,-117.7708,34.1159,91750.0,5912,,No,16
42,585,Gwen Evans,0,2002,5536825392398622.0,9,14,13:08,$12.76,Swipe Transaction,-4500542936415012428,La Verne,CA,-117.7708,34.1159,91750.0,5814,,No,10
43,1871,Angelica Long,0,2002,5226870809361787.0,9,15,05:34,$109.94,Swipe Transaction,5817218446178736267,La Verne,CA,-117.7708,34.1159,91750.0,5912,,No,4
44,275,Bridget Schmidt,0,2002,4628936693780104.0,9,15,06:18,$126.29,Swipe Transaction,-245178307025547046,La Verne,CA,-117.7708,34.1159,91750.0,5311,,No,44
45,872,Fletcher Xi,0,2002,5364678125237327.0,9,15,06:55,$40.81,Swipe Transaction,4060646732831064559,La Verne,CA,-117.7708,34.1159,91750.0,5411,,No,17
46,679,Kian Richardson,0,2002,5120921074394357.0,9,15,13:54,$81.35,Swipe Transaction,-5904116920141006298,Diamond Bar,CA,-117.8098,34.0066,91765.0,5719,,No,46
47,319,Holland Howard,0,2002,5023863713584517.0,9,16,06:00,$115.34,Swipe Transaction,3527213246127876953,La Verne,CA,-117.7708,34.1159,91750.0,5300,,No,0
48,1886,Allan Davis,0,2002,4359575208295255.0,9,16,06:45,$44.25,Swipe Transaction,4060646732831064559,La Verne,CA,-117.7708,34.1159,91750.0,5411,,No,17
49,704,Thea Harris,0,2002,5230052090763944.0,9,17,06:09,$120.19,Swipe Transaction,-34551508091458520,La Verne,CA,-117.7708,34.1159,91750.0,5912,Insufficient Balance,No,16
50,1563,Coen Peres,0,2002,4564555970607146.0,9,17,06:24,$159.72,Swipe Transaction,-34551508091458520,La Verne,CA,-117.7708,34.1159,91750.0,5912,,No,16
51,1188,Liana Bailey,0,2002,5929990861229924.0,9,18,06:19,$128.85,Swipe Transaction,3527213246127876953,La Verne,CA,-117.7708,34.1159,91750.0,5300,,No,0
52,1716,Isla Ramirez,0,2002,6666283868705517.0,9,18,20:01,$92.30,Swipe Transaction,-4500542936415012428,La Verne,CA,-117.7708,34.1159,91750.0,5814,,No,10
53,195,Elora Schmidt,0,2002,4403164286544036.0,9,19,06:25,$168.11,Swipe Transaction,5817218446178736267,La Verne,CA,-117.7708,34.1159,91750.0,5912,,No,4
54,1103,Armani Hill,0,2002,343322895436234.0,9,19,09:42,$53.09,Swipe Transaction,4055257078481058705,La Verne,CA,-117.7708,34.1159,91750.0,7538,,No,9
